Tienda	Código de Artículo		Descripción		Precio		Fecha	Exsitencia Actual		Puede Surtir	Nro.de Dctos.  Puede Surtir	NO Surtir	Nro.de Dctos.  NO Surtir		Existencia Aereo		
006	1426008		MECHA ESPADA 1-1/8"		141,06		01-08-2018	13,00		13,00	1	0,00	0		2,00		
006	1426017		MECHA CERAMICA 1 8"		104,56		14-07-2018	2,00		2,00	1	0,00	0				
006	1426018		MECHA CERAMICA 3 16"		107,56		14-07-2018	3,00		3,00	2	0,00	0				
006	1426022		MECHA CERAMICA 1 2"		21,86		21-06-2018	2,00		2,00	1	0,00	0				
006	1426034		MECHA ESPADA 1-1/2"		192,06		16-08-2018	12,00		12,00	1	0,00	0		8,00		
006	1427020		ACERO RAPIDO 19 64"		84,38		14-07-2018	1,00		1,00	1	0,00	0				
006	1427026		ACERO RAPIDO 13/32"		136,06		14-07-2018	1,00		1,00	1	0,00	0				
006	1427028		ACERO RAPIDO 15 32"		168,56		14-07-2018	2,00		2,00	1	0,00	0				
006	1427040		ACERO RAPIDO 1/8" L		167,31		14-07-2018	2,00		2,00	1	0,00	0				
006	1427062		TITANIO 9/32"		120,56		14-07-2018	2,00		2,00	1	0,00	0				
006	1427063		TITANIO 5/16"		135,31		14-07-2018	2,00		2,00	1	0,00	0				
006	1429025		MADERA 6PZ ESPADA		48,96		18-04-2018	1,00		1,00	1	0,00	0				
006	1430025		SET SIERRA COPA 5PZ		419,81		14-07-2018	1,00		1,00	1	0,00	0				
006	1430049		COPA MADERA 2-1/4"		229,81		17-07-2018	1,00		1,00	1	0,00	0				
006	1430051		COPA MADERA 3"		272,06		14-07-2018	2,00		2,00	1	0,00	0				
006	1430059		GUIA P/SIERRA COPA		116,31		14-07-2018	2,00		2,00	1	0,00	0				
006	1430127		PORTA PUNTA MAGNETIC		62,56		14-07-2018	1,00		1,00	1	0,00	0				
006	1433117		4 1/2"-1HP 800W/110V		1.640,56		13-06-2018	2,00		2,00	1	0,00	0				
006	1433129		ESM 4-1/2 850W 11000		2.231,25		22-09-2018	5,00		5,00	1	0,00	0				
006	1433132		ESMERIL BANCO 6		3.135,56		13-06-2018	2,00		2,00	1	0,00	0				
006	1433133		ESMERILADORA 4 1/2		7.233,62		15-09-2018	5,00		5,00	1	0,00	0				
006	1435080		4-1/2" X 1/24" METAL		20,73		12-07-2018	5,00		5,00	1	0,00	0				
006	1435081		7" X 1/16" ACERO		125,86		15-09-2018	9,00		9,00	1	0,00	0				
006	1435083		7" X 1/16" MULTIPLE		314,66		15-09-2018	15,00		15,00	1	0,00	0				
006	1435153		DISCO CORTE 4 1/2"		188,79		15-09-2018	15,00		15,00	1	0,00	0				
006	1435158		ABRASIVO 4 1/2		209,48		06-09-2018	20,00		20,00	1	0,00	0				
006	1435159		ABRASIVO 7		424,14		06-09-2018	15,00		15,00	1	0,00	0				
006	1435160		ABRASIVO 14		1.166,38		06-09-2018	10,00		10,00	1	0,00	0				
006	1437071		TURBO 4 1/2"		724,14		15-09-2018	15,00		15,00	1	0,00	0				
006	1437072		SEGMENTADO 4 1/2"		677,59		15-09-2018	15,00		15,00	1	0,00	0				
006	1437073		CONTINUO 7"		1.701,72		15-09-2018	15,00		15,00	1	0,00	0				
